2025.11.03 18:42:42: Added Thomas Anderson Teacher
2025.11.03 18:42:42: Added Han Solo Teacher
2025.11.03 18:42:42: Added Princess Leia Teacher
2025.11.03 18:42:42: Added Severus Snape Teacher
2025.11.03 18:42:42: Added Dolores Umbridge Teacher
2025.11.03 18:42:42: Added Peter Pan Student to class class 1A, profile humane
2025.11.03 18:42:42: Added Anna Shirley Student to class class 1A, profile humane
2025.11.03 18:42:42: Added Harry Potter Student to class class 1A, profile humane
2025.11.03 18:42:42: Added Ron Weasley Student to class class 1A, profile humane
2025.11.03 18:42:42: Added term of subject Math on MONDAY at 10:30, 45 min to subject Math
2025.11.03 18:42:42: Added term of subject Math on THURSDAY at 12:50, 45 min to subject Math
2025.11.03 18:42:42: Added subject Math to class 1A, profile humane
2025.11.03 18:42:42: Added term of subject English on MONDAY at 12:00, 45 min to subject English
2025.11.03 18:42:42: Added term of subject English on TUESDAY at 11:00, 45 min to subject English
2025.11.03 18:42:42: Added term of subject English on WEDNESDAY at 10:30, 45 min to subject English
2025.11.03 18:42:42: Added term of subject English on THURSDAY at 11:00, 45 min to subject English
2025.11.03 18:42:42: Added subject English to class 1A, profile humane
2025.11.03 18:42:42: Added term of subject Computer Science on TUESDAY at 09:00, 45 min to subject Computer Science
2025.11.03 18:42:42: Added subject Computer Science to class 1A, profile humane
2025.11.03 18:42:42: Added term of subject Chemistry on WEDNESDAY at 11:30, 45 min to subject Chemistry
2025.11.03 18:42:42: Added subject Chemistry to class 1A, profile humane
2025.11.03 18:42:42: Added term of subject Potions on FRIDAY at 09:00, 90 min to subject Potions
2025.11.03 18:42:42: Added subject Potions to class 1A, profile humane
2025.11.03 18:42:42: Added term of subject Black Magic Defense on FRIDAY at 12:30, 90 min to subject Black Magic Defense
2025.11.03 18:42:42: Added subject Black Magic Defense to class 1A, profile humane
2025.11.03 18:42:42: Added class 1A, profile humane
2025.11.16 18:23:40: Added Thomas Anderson Teacher
2025.11.16 18:23:40: Added Han Solo Teacher
2025.11.16 18:23:40: Added Princess Leia Teacher
2025.11.16 18:23:40: Added Severus Snape Teacher
2025.11.16 18:23:40: Added Dolores Umbridge Teacher
2025.11.16 18:23:40: Added Peter Pan Student to class class 1A, profile humane
2025.11.16 18:23:40: Added Anna Shirley Student to class class 1A, profile humane
2025.11.16 18:23:40: Added Harry Potter Student to class class 1A, profile humane
2025.11.16 18:23:40: Added Ron Weasley Student to class class 1A, profile humane
2025.11.16 18:23:40: Added term of subject Math on MONDAY at 10:30, 45 min to subject Math
2025.11.16 18:23:40: Added term of subject Math on THURSDAY at 12:50, 45 min to subject Math
2025.11.16 18:23:40: Added subject Math to class 1A, profile humane
2025.11.16 18:23:40: Added term of subject English on MONDAY at 12:00, 45 min to subject English
2025.11.16 18:23:40: Added term of subject English on TUESDAY at 11:00, 45 min to subject English
2025.11.16 18:23:40: Added term of subject English on WEDNESDAY at 10:30, 45 min to subject English
2025.11.16 18:23:40: Added term of subject English on THURSDAY at 11:00, 45 min to subject English
2025.11.16 18:23:40: Added subject English to class 1A, profile humane
2025.11.16 18:23:40: Added term of subject Computer Science on TUESDAY at 09:00, 45 min to subject Computer Science
2025.11.16 18:23:40: Added subject Computer Science to class 1A, profile humane
2025.11.16 18:23:40: Added term of subject Chemistry on WEDNESDAY at 11:30, 45 min to subject Chemistry
2025.11.16 18:23:40: Added subject Chemistry to class 1A, profile humane
2025.11.16 18:23:40: Added term of subject Potions on FRIDAY at 09:00, 90 min to subject Potions
2025.11.16 18:23:40: Added subject Potions to class 1A, profile humane
2025.11.16 18:23:40: Added term of subject Black Magic Defense on FRIDAY at 12:30, 90 min to subject Black Magic Defense
2025.11.16 18:23:40: Added subject Black Magic Defense to class 1A, profile humane
2025.11.16 18:23:40: Added class 1A, profile humane
2025.11.17 17:49:54: Added Peter Pan Student to class class 1A, profile humane
2025.11.17 17:49:54: Added Anna Shirley Student to class class 1A, profile humane
2025.11.17 17:49:54: Added Harry Potter Student to class class 1A, profile humane
2025.11.17 17:49:54: Added Ron Weasley Student to class class 1A, profile humane
2025.11.17 17:50:19: Added Peter Pan Student to class class 1A, profile humane
2025.11.17 17:50:19: Added Anna Shirley Student to class class 1A, profile humane
2025.11.17 17:50:19: Added Harry Potter Student to class class 1A, profile humane
2025.11.17 17:50:19: Added Ron Weasley Student to class class 1A, profile humane
2025.11.17 17:50:55: Added Peter Pan Student to class class 1A, profile humane
2025.11.17 17:50:55: Added Anna Shirley Student to class class 1A, profile humane
2025.11.17 17:50:55: Added Harry Potter Student to class class 1A, profile humane
2025.11.17 17:50:55: Added Ron Weasley Student to class class 1A, profile humane
2025.11.17 18:01:14: Added term of subject Math on MONDAY at 10:30, 45 min to subject Math
2025.11.17 18:01:14: Added term of subject Math on THURSDAY at 12:50, 45 min to subject Math
2025.11.17 18:01:14: Added term of subject English on MONDAY at 12:00, 45 min to subject English
2025.11.17 18:01:14: Added term of subject English on TUESDAY at 11:00, 45 min to subject English
2025.11.17 18:01:14: Added term of subject English on WEDNESDAY at 10:30, 45 min to subject English
2025.11.17 18:01:14: Added term of subject English on THURSDAY at 11:00, 45 min to subject English
2025.11.17 18:01:14: Added term of subject Computer Science on TUESDAY at 09:00, 45 min to subject Computer Science
2025.11.17 18:01:14: Added term of subject Chemistry on WEDNESDAY at 11:30, 45 min to subject Chemistry
2025.11.17 18:01:14: Added term of subject Potions on FRIDAY at 09:00, 90 min to subject Potions
2025.11.17 18:01:14: Added term of subject Black Magic Defense on FRIDAY at 12:30, 90 min to subject Black Magic Defense
